onset	duration	trial_type	response_time	response_button	response_accuracy
30.63	5.3	BY	0.453	1	1
39.028	5.3	Bng	n/a	n/a	1
47.427	5.3	BX	0.464	1	1
55.826	5.3	BY	0.463	1	1
65.424	5.3	Ang	n/a	n/a	1
75.023	5.3	AY	0.517	1	1
84.621	5.3	AX	0.362	2	1
94.22	5.3	AX	0.396	2	1
102.618	5.3	AX	0.615	2	1
109.817	5.3	Bng	n/a	n/a	1
117.016	5.3	BY	0.556	2	0
124.215	5.3	BY	0.5	1	1
131.414	5.3	BY	0.405	1	1
138.629	5.3	AX	0.544	2	1
148.228	5.3	AY	0.631	1	1
155.427	5.3	BY	0.574	1	1
162.625	5.3	AX	0.589	2	1
171.024	5.3	Ang	n/a	n/a	1
180.623	5.3	AX	0.432	2	1
190.221	5.3	BY	0.494	1	1
199.819	5.3	AX	0.491	2	1
207.018	5.3	BX	0.88	1	1
215.417	5.3	BY	0.567	1	1
223.816	5.3	AX	0.382	2	1
262.226	5.3	BY	0.398	1	1
270.625	5.3	Bng	n/a	n/a	1
279.024	5.3	BY	0.532	1	1
286.222	5.3	AX	0.383	2	1
293.421	5.3	BY	0.401	1	1
301.82	5.3	AX	0.409	2	1
311.418	5.3	AX	0.506	2	1
321.017	5.3	BY	0.462	1	1
329.416	5.3	AX	0.418	2	1
339.014	5.3	AX	0.446	2	1
346.23	5.3	AX	0.325	2	1
353.428	5.3	AX	0.321	2	1
363.027	5.3	BY	0.42	1	1
370.226	5.3	BY	0.377	1	1
378.624	5.3	BY	0.465	1	1
388.223	5.3	BX	0.355	1	1
396.622	5.3	Ang	n/a	n/a	1
403.82	5.3	Ang	n/a	n/a	1
412.219	5.3	BY	0.719	1	1
419.418	5.3	Bng	n/a	n/a	1
429.016	5.3	BX	0.38	1	1
438.615	5.3	AY	0.525	1	1
445.814	5.3	AY	0.519	1	1
454.229	5.3	AX	0.364	2	1
493.823	5.3	AX	0.367	2	1
501.022	5.3	BX	0.807	1	1
509.42	5.3	AX	0.622	2	1
517.819	5.3	BY	0.706	1	1
525.018	5.3	BY	0.36	1	1
533.417	5.3	Bng	n/a	n/a	1
543.015	5.3	AX	0.386	2	1
552.614	5.3	AX	0.632	2	1
559.829	5.3	Bng	n/a	n/a	1
568.228	5.3	Ang	n/a	n/a	1
577.826	5.3	AX	0.457	2	1
587.425	5.3	BY	0.494	1	1
594.624	5.3	AY	0.449	1	1
603.022	5.3	AX	0.723	2	1
610.221	5.3	AX	0.389	2	1
617.42	5.3	BY	0.409	1	1
627.018	5.3	AX	0.497	2	1
635.417	5.3	Ang	n/a	n/a	1
643.816	5.3	BY	0.381	1	1
653.414	5.3	BY	0.361	1	1
660.63	5.3	BY	0.415	1	1
669.028	5.3	BX	0.363	1	1
676.227	5.3	BY	0.328	1	1
685.826	5.3	AY	0.616	1	1
