onset	duration	trial_type	response_time	response_button	response_accuracy
30.604	5.3	BY	0.399	1	1
39.003	5.3	AX	0.33	2	1
47.418	5.3	BY	0.342	1	1
55.817	5.3	AX	0.407	2	1
63.016	5.3	Ang	n/a	n/a	1
70.215	5.3	Bng	0.4	1	0
79.813	5.3	AX	0.561	2	1
89.411	5.3	Ang	n/a	n/a	1
99.01	5.3	BX	0.78	1	1
106.209	5.3	AX	0.457	2	1
115.807	5.3	BY	0.52	1	1
123.006	5.3	BY	0.436	1	1
131.405	5.3	Bng	n/a	n/a	1
141.003	5.3	AX	0.561	2	1
148.202	5.3	AY	0.539	1	1
156.617	5.3	BY	0.642	1	1
166.216	5.3	AY	0.534	1	1
173.415	5.3	AX	0.4	1	0
181.813	5.3	BY	0.336	1	1
189.012	5.3	BX	0.531	1	1
198.611	5.3	BY	0.376	1	1
208.209	5.3	AX	0.327	2	1
215.408	5.3	AX	0.599	2	1
223.807	5.3	BY	0.393	1	1
262.217	5.3	BX	0.538	1	1
269.416	5.3	BX	0.297	1	1
279.015	5.3	Bng	n/a	n/a	1
287.413	5.3	AX	0.365	2	1
295.812	5.3	BY	0.408	1	1
305.411	5.3	AX	0.322	2	1
313.809	5.3	Bng	n/a	n/a	1
323.408	5.3	AX	0.573	2	1
330.607	5.3	AX	0.402	2	1
340.205	5.3	BY	0.575	2	0
347.404	5.3	AX	0.5	2	1
355.803	5.3	AY	0.543	1	1
363.018	5.3	BY	0.344	1	1
371.417	5.3	BY	0.284	1	1
378.616	5.3	AX	0.334	2	1
388.214	5.3	AX	0.31	2	1
395.413	5.3	BY	0.314	1	1
405.011	5.3	BY	0.29	1	1
413.41	5.3	AY	0.29	2	0
420.609	5.3	Ang	n/a	n/a	1
429.008	5.3	AX	0.499	2	1
437.406	5.3	Ang	n/a	n/a	1
447.005	5.3	BY	0.591	1	1
454.204	5.3	BY	0.326	1	1
493.814	5.3	Ang	n/a	n/a	1
501.013	5.3	AX	0.465	2	1
508.212	5.3	BY	0.611	1	1
516.61	5.3	Ang	n/a	n/a	1
526.209	5.3	AX	0.56	2	1
533.408	5.3	BY	0.366	1	1
543.006	5.3	AX	0.452	2	1
550.205	5.3	BX	0.508	2	0
558.604	5.3	Bng	n/a	n/a	1
567.002	5.3	AX	0.623	2	1
576.618	5.3	BY	0.295	1	1
585.016	5.3	BY	0.596	1	1
594.615	5.3	Bng	n/a	n/a	1
603.013	5.3	AX	0.506	2	1
612.612	5.3	BY	0.325	1	1
622.21	5.3	AX	0.632	2	1
631.809	5.3	BY	0.331	1	1
640.208	5.3	AX	0.389	2	1
649.806	5.3	AX	0.401	2	1
657.005	5.3	AY	0.658	1	1
664.204	5.3	BY	0.274	1	1
671.403	5.3	BY	0.297	1	1
679.818	5.3	BX	0.492	1	1
687.017	5.3	AY	0.519	1	1
