onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.716	2	Con	MC	0.8845	1
35.515	2	Con	MC	0.7865	1
39.115	2	Con	MC	0.6985	1
42.714	2	Con	MC	0.62	1
48.713	2	Con	MC	0.673	1
52.313	2	InCon	PC50	0.829	1
57.112	2	Con	MC	0.769	1
63.111	2	Con	MC	0.684	1
67.91	2	Con	MC	0.728	1
71.51	2	InCon	MC	0.753	1
77.509	2	InCon	MC	0.8645	1
83.524	2	InCon	PC50	0.908	1
88.324	2	Con	PC50	0.7585	1
93.123	2	Con	MC	0.7065	1
97.922	2	InCon	PC50	0.8805	1
103.921	2	Con	MC	0.7125	1
107.52	2	Con	MC	0.603	1
111.12	2	Con	PC50	0.725	1
115.919	2	Con	MC	0.8245	1
119.519	2	Con	MC	0.6815	1
125.518	2	InCon	PC50	0.812	1
129.117	2	Con	MC	0.718	1
135.116	2	InCon	MC	0.7595	1
139.915	2	Con	MC	0.642	1
145.914	2	InCon	MC	0.9055	1
149.514	2	Con	MC	0.652	1
154.313	2	InCon	MC	0.8125	1
160.312	2	InCon	PC50	0.92	1
165.111	2	Con	PC50	0.7035	1
171.11	2	Con	PC50	0.86	1
177.109	2	Con	PC50	0.8435	1
181.909	2	Con	MC	0.7535	1
186.725	2	Con	MC	0.753	1
190.324	2	Con	PC50	0.72	1
193.923	2	InCon	MC	0.8855	1
197.523	2	InCon	PC50	0.8795	1
233.517	2	Con	PC50	0.861	1
238.316	2	Con	MC	0.788	1
244.315	2	InCon	PC50	0.899	1
247.915	2	InCon	PC50	0.9015	1
251.514	2	Con	MC	0.8515	1
255.114	2	Con	PC50	0.805	1
258.713	2	Con	MC	0.675	1
264.712	2	InCon	PC50	0.843	1
269.511	2	Con	MC	0.821	1
274.311	2	Con	MC	0.83	1
279.11	2	InCon	MC	0.854	1
285.109	2	Con	PC50	0.7305	1
291.125	2	Con	PC50	0.8845	1
295.924	2	InCon	PC50	0.788	1
300.723	2	Con	MC	0.8165	1
304.323	2	Con	MC	0.7015	1
307.922	2	Con	MC	0.7295	1
311.521	2	InCon	MC	0.877	1
315.121	2	Con	MC	0.6805	1
321.12	2	InCon	PC50	0.908	1
325.919	2	InCon	MC	0.941	1
331.918	2	Con	MC	0.8545	1
337.917	2	Con	PC50	0.89	1
342.717	2	Con	MC	0.8725	1
348.716	2	Con	MC	0.622	1
352.315	2	Con	MC	0.6945	1
355.914	2	Con	MC	0.653	1
361.913	2	InCon	MC	0.923	1
367.913	2	InCon	MC	0.9755	1
373.912	2	Con	MC	0.837	1
378.711	2	InCon	PC50	1.0175	1
382.31	2	Con	MC	0.8915	1
387.109	2	Con	MC	0.819	1
393.109	2	Con	PC50	0.7455	1
397.924	2	InCon	MC	0.8275	1
402.724	2	Con	MC	0.7605	1
436.318	2	Con	MC	0.808	1
441.118	2	Con	MC	0.74	1
447.117	2	InCon	PC50	0.8095	1
450.716	2	Con	MC	0.736	1
456.715	2	Con	PC50	0.696	1
461.514	2	Con	MC	0.6775	1
465.114	2	InCon	PC50	0.8435	1
468.713	2	InCon	MC	0.9165	1
473.512	2	Con	MC	0.761	1
478.312	2	InCon	PC50	0.864	1
484.311	2	Con	MC	0.9485	1
487.91	2	InCon	PC50	1.1185	1
493.909	2	Con	MC	0.841	1
497.509	2	Con	MC	0.82	1
501.125	2	InCon	PC50	0.9285	1
505.924	2	Con	MC	0.7795	1
511.923	2	InCon	MC	0.8385	1
516.722	2	Con	PC50	0.8615	1
520.322	2	Con	PC50	0.8835	1
523.921	2	Con	MC	0.741	1
528.72	2	Con	PC50	0.8095	1
533.52	2	InCon	MC	0.9375	1
539.519	2	InCon	MC	0.899	1
545.518	2	Con	MC	0.9085	1
551.517	2	Con	MC	0.8725	1
556.316	2	Con	PC50	0.783	1
562.315	2	Con	MC	0.8225	1
568.314	2	Con	MC	0.7995	1
573.113	2	InCon	MC	1.0645	1
579.112	2	InCon	MC	0.843	1
582.712	2	InCon	PC50	0.843	1
586.311	2	Con	MC	0.8595	1
592.31	2	Con	MC	0.7315	1
597.11	2	Con	PC50	0.811	1
600.709	2	Con	MC	0.8675	1
604.325	2	Con	MC	0.8295	1
