onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.725	2	Con	MC	0.706	1
34.327	2	Con	MC	0.592	1
40.315	2	InCon	MC	1.0045	1
43.918	2	Con	MC	0.747	1
48.722	2	Con	MC	0.751	1
52.324	2	InCon	PC50	0.925	1
57.128	2	Con	MC	0.719	1
60.714	2	InCon	MC	0.787	1
66.718	2	Con	MC	0.756	1
71.522	2	Con	MC	0.6965	1
77.526	2	InCon	MC	1.0505	1
82.33	2	Con	MC	0.5945	1
88.318	2	Con	PC50	n/a	1
91.921	2	Con	MC	0.7425	1
96.724	2	Con	MC	0.8675	1
100.327	2	Con	MC	n/a	1
106.315	2	Con	PC50	0.834	1
111.118	2	InCon	PC50	0.7685	1
115.922	2	InCon	MC	1.033	1
121.926	2	InCon	PC50	n/a	1
126.73	2	Con	PC50	0.902	1
132.718	2	Con	MC	0.773	1
136.321	2	Con	MC	0.851	1
142.325	2	Con	PC50	n/a	1
145.928	2	Con	MC	0.799	1
150.715	2	InCon	PC50	0.9875	1
156.719	2	Con	MC	0.6815	1
160.322	2	Con	PC50	n/a	1
163.925	2	Con	MC	0.843	1
168.728	2	InCon	PC50	1.1735	1
174.716	2	Con	PC50	0.745	1
180.72	2	InCon	MC	0.994	1
186.725	2	InCon	MC	0.8865	1
190.328	2	Con	MC	0.691	1
195.115	2	Con	MC	0.94	1
198.717	2	InCon	PC50	0.9315	1
233.527	2	Con	PC50	0.87	1
239.515	2	Con	MC	0.619	1
245.519	2	InCon	MC	0.843	1
249.122	2	InCon	MC	0.8535	1
253.925	2	Con	MC	0.938	1
257.528	2	Con	MC	0.7715	1
262.315	2	Con	PC50	n/a	1
267.119	2	InCon	PC50	0.9305	1
271.922	2	InCon	PC50	0.7745	1
277.927	2	Con	MC	0.705	1
283.914	2	Con	PC50	n/a	1
287.517	2	Con	MC	0.9645	1
291.12	2	Con	MC	0.6615	1
294.723	2	InCon	PC50	1.141	1
299.526	2	InCon	PC50	0.9855	1
303.129	2	Con	MC	0.764	1
309.117	2	Con	MC	0.747	1
312.719	2	InCon	MC	1.1205	1
317.523	2	InCon	MC	0.997	1
321.126	2	Con	MC	0.8125	1
325.929	2	Con	MC	0.7055	1
330.716	2	InCon	MC	0.895	1
336.721	2	Con	MC	0.798	1
342.725	2	Con	PC50	0.7795	1
348.73	2	InCon	PC50	0.9615	1
354.718	2	Con	MC	0.842	1
360.722	2	Con	MC	0.7965	1
364.325	2	InCon	PC50	0.824	1
370.329	2	Con	PC50	0.703	1
375.116	2	Con	MC	0.76	1
381.121	2	Con	MC	0.777	1
385.924	2	Con	MC	0.8475	1
390.728	2	Con	MC	0.6755	1
394.314	2	Con	MC	0.82	1
397.917	2	InCon	MC	0.8635	1
402.72	2	Con	PC50	0.8745	1
436.329	2	Con	PC50	0.8135	1
442.317	2	Con	MC	0.615	1
445.919	2	Con	PC50	0.7545	1
451.924	2	InCon	PC50	0.7425	1
455.526	2	Con	MC	0.8665	1
459.129	2	InCon	PC50	0.823	1
462.715	2	Con	MC	0.6835	1
467.519	2	Con	PC50	0.7585	1
472.322	2	Con	MC	0.717	1
478.327	2	Con	MC	0.6845	1
484.315	2	Con	MC	0.778	1
489.118	2	InCon	PC50	0.8685	0
493.922	2	Con	MC	0.658	1
497.525	2	Con	PC50	0.636	1
501.127	2	Con	MC	0.651	1
507.115	2	InCon	MC	0.8945	1
510.718	2	InCon	PC50	0.9955	1
515.521	2	InCon	MC	0.919	1
521.526	2	InCon	PC50	0.8445	1
526.33	2	InCon	MC	0.927	1
532.317	2	Con	MC	0.9895	1
538.322	2	Con	MC	0.6745	1
543.125	2	InCon	MC	1.117	1
547.929	2	InCon	MC	0.7805	1
551.515	2	InCon	MC	0.787	1
555.118	2	Con	PC50	0.864	1
558.72	2	Con	MC	0.7185	1
563.524	2	Con	MC	0.876	1
569.529	2	Con	MC	0.7275	1
573.115	2	Con	MC	0.622	1
577.918	2	InCon	PC50	0.904	1
583.923	2	Con	MC	0.723	1
589.927	2	Con	PC50	0.7305	1
595.915	2	Con	MC	1.026	1
599.518	2	Con	MC	0.6205	1
604.321	2	Con	MC	0.708	1
