onset	duration	trial_type	response_time	response_button	response_accuracy
30.612	5.3	BY	0.77	1	1
39.012	5.3	AX	0.766	2	1
46.212	5.3	AX	0.844	2	1
54.611	5.3	AY	0.776	1	1
64.211	5.3	BY	1.108	1	1
72.61	5.3	BY	1.059	1	1
79.81	5.3	BX	0.969	1	1
89.41	5.3	Bng	n/a	n/a	1
97.809	5.3	Bng	n/a	n/a	1
107.409	5.3	AX	0.808	2	1
114.609	5.3	AX	0.899	2	1
124.208	5.3	BY	0.873	1	1
131.408	5.3	AX	n/a	n/a	0
141.007	5.3	AX	n/a	n/a	0
148.207	5.3	BY	0.74	1	1
157.807	5.3	AY	0.715	1	1
166.22	5.3	AX	0.504	2	1
174.619	5.3	BY	0.985	1	1
184.219	5.3	Ang	n/a	n/a	1
192.619	5.3	BX	n/a	n/a	0
199.818	5.3	BY	0.939	1	1
209.418	5.3	AX	1.276	1	0
217.817	5.3	BY	0.906	1	1
225.017	5.3	Ang	n/a	n/a	1
262.215	5.3	AX	0.878	2	1
270.615	5.3	BX	0.909	1	1
280.215	5.3	BX	0.948	1	1
288.614	5.3	BY	0.843	1	1
295.814	5.3	BY	0.925	1	1
303.014	5.3	AX	0.742	2	1
311.413	5.3	BY	0.749	1	1
318.613	5.3	Bng	n/a	n/a	1
325.813	5.3	BY	0.828	1	1
334.212	5.3	BY	0.822	1	1
343.812	5.3	BY	0.849	1	1
353.411	5.3	AX	n/a	n/a	0
363.011	5.3	AX	0.829	2	1
371.411	5.3	BY	0.763	1	1
381.01	5.3	AX	0.441	2	1
388.21	5.3	Bng	n/a	n/a	1
396.61	5.3	AX	0.976	2	1
405.009	5.3	Ang	n/a	n/a	1
412.209	5.3	BY	0.954	1	1
421.808	5.3	AX	1.396	2	1
429.008	5.3	AY	0.754	1	1
438.608	5.3	AX	1.089	2	1
447.007	5.3	AY	0.789	1	1
456.607	5.3	Ang	n/a	n/a	1
493.819	5.3	AX	0.952	2	1
503.418	5.3	BY	1.129	1	1
511.818	5.3	Bng	n/a	n/a	1
519.018	5.3	BX	0.785	1	1
526.217	5.3	BY	0.737	1	1
533.417	5.3	BY	1.105	1	1
543.017	5.3	BY	0.773	1	1
551.416	5.3	BY	0.461	1	1
558.616	5.3	AX	0.535	2	1
568.215	5.3	AY	0.735	1	1
576.615	5.3	BY	0.685	1	1
586.215	5.3	AX	0.539	2	1
594.614	5.3	Ang	n/a	n/a	1
601.814	5.3	Ang	0.059	2	0
610.214	5.3	BY	0.534	1	1
619.813	5.3	BY	0.791	1	1
629.413	5.3	AX	0.869	2	1
637.812	5.3	AY	0.767	1	1
645.012	5.3	AX	0.804	2	1
652.212	5.3	Bng	n/a	n/a	1
661.811	5.3	BX	0.899	1	1
669.011	5.3	AX	0.942	2	1
677.411	5.3	AX	0.913	2	1
687.01	5.3	AX	0.691	2	1
