onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.709	2	Con	PC50	0.712	1
36.724	2	Con	MC	0.748	1
41.524	2	Con	MC	0.573	1
47.523	2	InCon	MC	0.8495	1
52.322	2	InCon	MC	0.8355	1
58.321	2	Con	MC	0.8805	1
61.92	2	InCon	PC50	0.951	1
67.919	2	Con	MC	0.914	1
72.719	2	InCon	PC50	0.8965	1
76.318	2	Con	MC	0.7505	1
79.918	2	Con	PC50	0.883	1
84.717	2	Con	PC50	0.7385	1
88.316	2	InCon	MC	0.8735	1
91.916	2	Con	MC	0.7605	1
95.515	2	Con	MC	0.708	1
99.114	2	Con	MC	0.7085	1
103.914	2	Con	MC	0.6455	1
107.513	2	InCon	PC50	0.7445	1
113.512	2	Con	MC	0.9385	1
118.311	2	InCon	PC50	0.989	1
123.111	2	InCon	PC50	0.8535	1
127.91	2	Con	MC	0.807	1
133.909	2	Con	MC	0.876	1
139.925	2	InCon	MC	0.882	1
145.924	2	Con	PC50	0.854	1
150.723	2	Con	MC	0.8765	1
156.722	2	InCon	MC	0.8305	1
161.521	2	Con	PC50	0.8015	1
167.52	2	Con	MC	0.8675	1
173.519	2	Con	MC	0.859	1
177.119	2	Con	MC	0.9035	1
181.918	2	Con	PC50	0.6585	1
187.917	2	Con	MC	0.7345	1
191.516	2	InCon	MC	0.7955	1
196.316	2	Con	MC	0.735	1
199.915	2	InCon	PC50	0.8345	1
233.51	2	Con	MC	0.6395	1
237.109	2	Con	MC	0.669	1
241.925	2	Con	PC50	0.6515	1
247.924	2	Con	MC	0.64	1
251.524	2	Con	MC	0.698	1
256.323	2	Con	PC50	0.526	1
262.322	2	Con	MC	0.709	1
267.121	2	InCon	MC	0.932	1
271.92	2	Con	MC	0.7205	1
277.919	2	Con	MC	0.862	1
283.918	2	Con	MC	0.8825	1
287.518	2	InCon	MC	0.9615	1
291.117	2	InCon	PC50	0.9675	1
297.116	2	Con	MC	0.693	1
303.115	2	InCon	PC50	1.1105	1
306.715	2	Con	MC	1.066	1
310.314	2	InCon	MC	1.0615	1
313.914	2	Con	MC	0.862	1
319.913	2	Con	MC	0.7255	1
324.712	2	Con	MC	0.979	1
328.311	2	InCon	MC	0.9015	1
333.111	2	InCon	MC	0.9205	1
337.91	2	InCon	PC50	0.889	1
342.709	2	Con	MC	0.7625	1
348.725	2	InCon	PC50	1.0045	1
353.524	2	Con	MC	0.859	1
358.323	2	Con	PC50	0.8165	1
363.122	2	InCon	MC	0.9545	1
369.121	2	Con	MC	0.974	1
375.12	2	InCon	PC50	0.9575	1
378.72	2	InCon	PC50	1.0115	1
384.719	2	Con	PC50	1.011	1
388.318	2	Con	MC	0.9025	1
394.317	2	Con	PC50	0.8915	1
399.117	2	Con	MC	0.6965	1
402.716	2	Con	PC50	0.8165	1
436.311	2	Con	MC	0.767	1
442.31	2	InCon	MC	0.9365	1
447.109	2	Con	PC50	0.6555	1
450.725	2	InCon	MC	1.116	1
456.724	2	Con	MC	0.7755	1
461.523	2	Con	PC50	0.671	1
466.323	2	Con	MC	0.7135	1
472.322	2	InCon	PC50	0.7985	1
478.321	2	Con	MC	0.7355	1
481.92	2	Con	MC	0.6975	1
485.52	2	Con	PC50	0.937	1
489.119	2	Con	PC50	0.9075	1
493.918	2	Con	MC	0.796	1
499.917	2	InCon	PC50	0.8915	1
503.517	2	InCon	MC	0.9085	1
509.516	2	InCon	MC	1.047	1
514.315	2	InCon	PC50	0.9815	1
519.114	2	Con	MC	0.723	1
522.714	2	Con	MC	0.864	1
526.313	2	Con	MC	0.873	1
532.312	2	Con	MC	0.9315	1
535.912	2	Con	MC	0.783	1
540.711	2	Con	MC	0.741	1
545.51	2	InCon	MC	0.823	1
551.509	2	Con	MC	0.949	1
556.325	2	Con	MC	0.8935	1
562.324	2	Con	MC	0.949	1
565.923	2	InCon	PC50	0.944	1
570.723	2	InCon	PC50	0.927	1
574.322	2	Con	MC	0.8945	1
579.121	2	InCon	PC50	0.9815	1
585.12	2	Con	PC50	0.8785	1
589.92	2	Con	PC50	1.234	1
595.919	2	Con	MC	0.8015	1
599.518	2	InCon	MC	0.9855	1
605.517	2	Con	MC	0.9705	1
