onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.705	2	InCon	PC50	n/a	1
35.505	2	Con	MC	1.322	1
40.304	2	Con	MC	0.917	1
46.304	2	Con	PC50	1.0065	1
49.904	2	InCon	MC	0.736	0
54.704	2	Con	MC	1.043	1
60.704	2	InCon	MC	n/a	1
66.703	2	Con	MC	0.9835	1
72.703	2	Con	MC	1.152	1
76.303	2	Con	PC50	0.912	1
79.903	2	InCon	MC	1.083	1
83.503	2	Con	MC	1.077	1
88.303	2	Con	MC	1.0265	1
91.902	2	Con	MC	1.1405	1
97.902	2	Con	PC50	1.109	1
102.702	2	Con	MC	1.4255	1
106.302	2	InCon	PC50	1.039	1
109.902	2	Con	MC	1.193	1
115.915	2	InCon	MC	0.981	1
121.914	2	InCon	PC50	1.2735	1
126.714	2	InCon	PC50	1.12	1
131.514	2	Con	PC50	n/a	1
136.314	2	Con	MC	1.03	1
139.914	2	Con	MC	1.088	1
145.914	2	Con	MC	1.0575	1
151.913	2	Con	MC	1.035	1
155.513	2	Con	MC	0.96	1
161.513	2	InCon	MC	0.959	1
166.313	2	Con	MC	1.1165	1
172.312	2	Con	PC50	0.798	1
175.912	2	Con	MC	1.159	1
179.512	2	Con	MC	0.7775	1
183.112	2	InCon	PC50	1.532	1
189.112	2	Con	PC50	n/a	1
193.912	2	InCon	PC50	1.9	1
198.711	2	InCon	MC	1.359	1
233.51	2	Con	PC50	1.18	1
237.11	2	Con	MC	1.2725	1
240.71	2	InCon	PC50	1.065	1
245.509	2	Con	MC	1.021	1
250.309	2	InCon	MC	1.032	1
256.309	2	Con	PC50	1.279	1
259.909	2	InCon	MC	1.0245	1
265.909	2	Con	MC	1.299	1
271.908	2	Con	MC	1.023	1
275.508	2	Con	MC	0.5955	1
280.308	2	InCon	PC50	1.352	1
286.308	2	Con	PC50	1.5755	1
291.108	2	InCon	PC50	n/a	1
297.107	2	Con	MC	n/a	1
301.907	2	Con	MC	1.1475	1
305.507	2	InCon	PC50	1.276	1
310.307	2	InCon	MC	1.247	1
313.907	2	Con	MC	1.222	1
319.906	2	Con	MC	0.7605	1
323.506	2	Con	MC	0.8055	1
328.306	2	InCon	PC50	1.0515	1
334.306	2	Con	PC50	0.932	1
339.106	2	Con	PC50	0.969	1
342.705	2	InCon	MC	1.12	1
348.705	2	Con	MC	0.9855	1
353.505	2	Con	MC	0.805	1
359.505	2	InCon	MC	0.974	1
364.305	2	InCon	PC50	1.181	1
370.304	2	Con	MC	1.026	1
373.904	2	Con	MC	1.4805	1
378.704	2	Con	MC	0.722	1
382.304	2	InCon	MC	1.457	1
388.304	2	Con	MC	1.128	1
391.903	2	Con	MC	1.0455	1
397.903	2	Con	PC50	1.028	1
402.703	2	Con	MC	1.0325	1
436.302	2	Con	MC	0.802	1
442.315	2	InCon	PC50	1.1845	1
445.915	2	Con	MC	1.503	1
450.714	2	Con	MC	0.736	1
454.314	2	InCon	MC	0.9575	1
457.914	2	Con	MC	1.31	1
462.714	2	Con	MC	1.126	1
467.514	2	Con	MC	1.1755	1
473.513	2	Con	PC50	1.407	1
479.513	2	Con	MC	1.084	1
485.513	2	InCon	MC	1.0475	0
490.313	2	InCon	MC	0.9325	1
493.913	2	InCon	PC50	n/a	1
497.512	2	Con	MC	1.1755	1
503.512	2	InCon	MC	1.076	1
508.312	2	Con	PC50	1.4155	1
513.112	2	Con	MC	1.232	1
516.712	2	Con	PC50	1.0915	1
521.512	2	Con	MC	0.9245	1
526.311	2	Con	PC50	0.7075	1
529.911	2	Con	PC50	1.0095	1
535.911	2	Con	MC	0.9005	1
541.911	2	InCon	PC50	1.386	1
547.91	2	Con	MC	0.795	1
551.51	2	Con	MC	1.2405	1
555.11	2	InCon	MC	n/a	1
561.11	2	InCon	PC50	0.961	1
565.91	2	Con	MC	0.836	1
570.709	2	Con	MC	1.043	1
576.709	2	Con	MC	1.045	1
582.709	2	InCon	PC50	1.288	1
587.509	2	InCon	PC50	1.304	1
591.109	2	Con	PC50	n/a	1
594.709	2	Con	MC	1.089	1
598.308	2	Con	MC	0.841	1
603.108	2	InCon	MC	1.011	1
