onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.709	2	Con	MC	0.8465	1
35.509	2	Con	MC	0.794	1
41.508	2	Con	MC	0.6045	1
45.108	2	Con	MC	0.589	1
51.107	2	Con	MC	0.5955	1
57.107	2	InCon	PC50	0.7945	1
61.907	2	Con	MC	0.5925	1
66.72	2	Con	PC50	0.611	1
70.319	2	Con	MC	0.755	1
75.119	2	Con	PC50	0.5895	1
78.719	2	InCon	MC	0.647	0
82.318	2	Con	PC50	0.6795	1
88.318	2	Con	MC	0.789	1
94.318	2	Con	MC	0.816	1
100.317	2	InCon	PC50	0.8525	1
103.917	2	Con	MC	0.8895	1
109.916	2	Con	MC	0.694	1
113.516	2	InCon	MC	0.901	1
118.316	2	Con	MC	0.6565	1
124.315	2	Con	MC	0.7405	1
127.915	2	InCon	MC	0.9265	1
132.715	2	Con	MC	0.6525	1
137.514	2	Con	MC	0.7825	1
141.114	2	InCon	MC	0.86	0
145.914	2	InCon	PC50	1.06	1
149.513	2	Con	MC	0.7345	1
154.313	2	InCon	PC50	0.7955	1
160.313	2	Con	PC50	0.754	1
163.912	2	InCon	MC	0.7105	1
169.912	2	InCon	PC50	0.7495	1
174.711	2	Con	MC	0.661	1
179.511	2	InCon	MC	0.777	1
184.311	2	InCon	PC50	0.7785	1
187.91	2	Con	PC50	0.6845	1
191.51	2	Con	MC	0.618	1
197.51	2	Con	PC50	0.6815	1
233.507	2	Con	PC50	0.814	1
239.52	2	Con	PC50	0.729	1
245.519	2	Con	MC	0.7615	1
249.119	2	Con	MC	0.835	1
252.719	2	Con	MC	0.807	1
258.718	2	InCon	MC	0.815	1
262.318	2	Con	MC	0.6725	1
268.318	2	Con	MC	0.6855	1
273.117	2	InCon	MC	0.6675	1
277.917	2	InCon	PC50	0.8205	1
282.717	2	Con	MC	0.8385	1
286.316	2	InCon	PC50	0.81	1
291.116	2	Con	MC	0.74	1
294.716	2	InCon	PC50	0.692	1
299.515	2	InCon	PC50	0.748	1
305.515	2	InCon	MC	0.864	1
309.115	2	InCon	MC	0.801	1
313.914	2	Con	PC50	0.662	1
319.914	2	Con	MC	0.7385	1
323.513	2	Con	MC	0.8265	1
329.513	2	Con	MC	0.625	1
334.313	2	Con	MC	0.6565	1
337.912	2	InCon	PC50	0.8345	1
342.712	2	Con	MC	0.804	1
348.712	2	InCon	MC	1.018	1
352.311	2	Con	PC50	0.7555	1
357.111	2	Con	MC	0.618	1
360.711	2	Con	MC	0.6215	1
366.71	2	Con	MC	0.597	1
371.51	2	Con	PC50	0.7105	1
377.509	2	Con	MC	0.704	1
381.109	2	Con	MC	0.7165	1
387.109	2	Con	PC50	0.802	1
391.908	2	InCon	MC	0.8555	1
395.508	2	InCon	PC50	0.771	1
400.308	2	Con	MC	0.8505	1
436.318	2	InCon	PC50	0.7795	1
439.918	2	InCon	MC	0.716	1
445.918	2	InCon	PC50	0.794	1
450.717	2	Con	MC	0.7225	1
454.317	2	Con	MC	0.8085	1
459.116	2	Con	MC	0.6805	1
462.716	2	InCon	PC50	0.7695	1
468.716	2	Con	MC	0.719	1
473.515	2	Con	PC50	0.7195	1
479.515	2	InCon	PC50	0.906	1
483.115	2	Con	MC	0.758	1
489.114	2	InCon	MC	0.9145	1
493.914	2	InCon	PC50	0.7355	1
498.713	2	InCon	PC50	0.7765	1
502.313	2	Con	MC	0.8995	1
508.313	2	Con	MC	0.651	1
513.112	2	InCon	MC	1.0805	1
517.912	2	Con	MC	0.8535	1
523.912	2	Con	MC	0.7535	1
529.911	2	Con	MC	0.737	1
534.711	2	InCon	MC	0.792	1
540.71	2	InCon	MC	0.9485	1
544.31	2	Con	PC50	0.893	1
547.91	2	Con	MC	0.609	1
551.509	2	Con	PC50	0.634	1
555.109	2	Con	PC50	0.745	1
559.909	2	Con	MC	0.8165	1
563.509	2	Con	MC	0.6165	1
568.308	2	Con	MC	0.7955	1
571.908	2	Con	MC	0.81	1
577.907	2	Con	MC	0.8645	1
581.507	2	Con	PC50	0.88	1
586.307	2	Con	MC	0.7535	1
592.32	2	Con	PC50	0.8015	1
598.319	2	Con	MC	0.7595	1
604.319	2	InCon	MC	0.9035	1
