onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.726	2	InCon	PC50	1.0465	1
35.526	2	InCon	MC	0.7825	1
39.126	2	Con	MC	0.7705	1
49.133	2	Con	MC	n/a	no-response
51.126	2	InCon	PC50	0.947	0
55.925	2	Con	PC50	0.7325	1
59.525	2	Con	MC	0.8235	1
63.125	2	InCon	MC	1.0425	1
66.725	2	InCon	PC50	0.8815	1
71.525	2	Con	MC	0.7705	1
76.325	2	InCon	PC50	0.882	0
82.325	2	Con	PC50	0.864	1
88.324	2	Con	MC	0.8875	1
94.324	2	InCon	PC50	0.9535	1
97.924	2	InCon	MC	1.072	1
102.724	2	Con	MC	1.143	1
106.324	2	Con	PC50	1.4305	0
111.124	2	Con	MC	0.675	1
114.724	2	InCon	MC	0.8685	1
119.523	2	Con	MC	0.8675	1
123.123	2	Con	PC50	0.8395	1
129.123	2	InCon	MC	1.348	1
135.123	2	Con	MC	0.7795	1
141.123	2	Con	MC	1.1065	1
145.923	2	Con	MC	0.798	1
151.922	2	Con	MC	0.979	1
156.722	2	Con	MC	0.841	1
160.322	2	Con	MC	1.159	1
165.122	2	Con	MC	1.0945	1
171.122	2	InCon	PC50	0.9575	1
174.722	2	Con	MC	0.653	1
178.322	2	Con	MC	1.075	1
184.321	2	Con	PC50	0.823	1
190.321	2	Con	PC50	0.789	1
195.121	2	Con	MC	1.064	1
199.921	2	InCon	MC	0.8095	1
233.52	2	Con	MC	0.6705	1
239.52	2	Con	PC50	0.832	1
245.519	2	Con	MC	0.8635	1
249.119	2	Con	MC	0.729	1
255.119	2	Con	MC	0.9765	1
261.119	2	InCon	PC50	1.255	1
265.919	2	Con	MC	0.9575	1
269.519	2	Con	MC	0.7845	1
273.119	2	InCon	MC	0.7255	1
277.918	2	Con	MC	0.614	1
282.718	2	InCon	MC	0.8885	1
286.318	2	Con	PC50	1.2375	1
291.118	2	InCon	PC50	0.8425	1
295.918	2	InCon	PC50	0.7085	1
301.918	2	InCon	MC	0.9465	1
307.917	2	Con	MC	0.7675	1
312.717	2	Con	PC50	1.419	1
316.317	2	InCon	PC50	0.9975	1
319.917	2	Con	PC50	0.8645	1
324.717	2	Con	MC	0.7375	1
328.317	2	Con	MC	1.019	1
333.117	2	InCon	PC50	0.8535	1
336.716	2	Con	PC50	1.0405	1
342.716	2	InCon	PC50	1.2995	1
348.716	2	Con	PC50	0.991	1
354.716	2	InCon	MC	0.9615	1
360.716	2	Con	MC	0.8545	1
366.716	2	Con	MC	0.8205	1
370.315	2	InCon	MC	1.0685	1
375.115	2	InCon	MC	0.7255	1
381.115	2	Con	MC	0.6665	1
384.715	2	Con	MC	0.966	1
389.515	2	Con	MC	0.9605	1
393.115	2	Con	MC	0.797	1
396.715	2	Con	MC	0.8965	1
401.514	2	Con	MC	0.8785	1
436.327	2	InCon	MC	0.801	1
442.326	2	Con	MC	0.9615	1
445.926	2	Con	PC50	1.1685	1
451.926	2	Con	MC	0.8085	1
456.726	2	Con	MC	0.934	1
461.526	2	InCon	MC	0.862	1
465.126	2	InCon	PC50	1.4995	1
471.125	2	InCon	PC50	0.9265	1
474.725	2	Con	MC	1.331	1
479.525	2	Con	MC	0.968	1
485.525	2	Con	MC	0.89	1
490.325	2	Con	MC	1.195	1
493.925	2	Con	PC50	0.914	1
498.725	2	Con	MC	0.8995	1
502.324	2	InCon	MC	0.9255	1
508.324	2	Con	MC	1.0235	1
513.124	2	InCon	PC50	0.857	1
516.724	2	Con	MC	0.8345	1
522.724	2	InCon	PC50	1.0005	1
527.524	2	InCon	MC	0.981	1
533.523	2	Con	MC	0.7315	1
537.123	2	Con	PC50	0.703	1
541.923	2	Con	PC50	1.0715	1
545.523	2	Con	MC	0.8795	1
551.523	2	Con	MC	0.98	1
555.123	2	Con	MC	0.7455	1
561.123	2	Con	PC50	0.9285	1
567.122	2	InCon	PC50	0.857	1
571.922	2	Con	MC	1.0145	1
576.722	2	InCon	MC	1.4425	1
580.322	2	InCon	PC50	0.962	1
586.322	2	Con	PC50	0.8845	1
589.922	2	Con	MC	0.775	1
595.921	2	Con	MC	0.8535	1
600.721	2	InCon	MC	0.7445	1
605.521	2	Con	MC	0.73	1
