onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.701	2	Con	MC	0.114	0
36.701	2	Con	MC	0.692	1
40.301	2	Con	MC	0.8005	1
43.901	2	InCon	MC	0.8425	1
47.501	2	Con	MC	0.751	1
53.5	2	InCon	MC	0.9425	1
59.5	2	InCon	MC	1.3185	1
63.1	2	Con	MC	0.8325	1
67.9	2	Con	MC	0.775	1
73.9	2	Con	MC	0.6955	1
78.7	2	InCon	MC	0.672	1
83.5	2	InCon	PC50	0.888	0
88.3	2	Con	PC50	0.7375	1
91.9	2	InCon	PC50	0.78	1
95.5	2	Con	PC50	0.7345	1
101.5	2	Con	PC50	0.795	1
106.3	2	Con	MC	0.7165	1
111.1	2	InCon	PC50	2.0605	1
117.1	2	Con	MC	0.8425	1
120.699	2	Con	MC	0.7165	1
125.513	2	Con	MC	0.7395	1
129.113	2	InCon	PC50	0.888	1
133.913	2	InCon	PC50	0.723	1
139.913	2	Con	MC	0.725	1
145.912	2	Con	MC	0.7035	1
150.712	2	InCon	MC	1.02	1
155.512	2	Con	MC	0.6265	1
160.312	2	Con	MC	0.746	1
166.312	2	Con	MC	0.7445	1
169.912	2	Con	PC50	0.7195	1
175.912	2	InCon	PC50	1.0035	1
179.512	2	Con	MC	0.826	1
183.112	2	Con	PC50	0.672	1
186.712	2	Con	PC50	0.777	1
192.712	2	InCon	MC	1.082	1
197.512	2	Con	MC	1.005	1
233.511	2	Con	MC	0.875	1
239.511	2	Con	PC50	0.8	1
243.111	2	Con	MC	0.835	1
246.711	2	InCon	MC	0.921	1
251.511	2	Con	PC50	0.7575	1
256.311	2	InCon	MC	0.7965	1
262.311	2	Con	MC	0.7575	1
265.911	2	Con	MC	0.836	1
271.911	2	Con	MC	0.806	1
276.711	2	Con	MC	0.7515	1
281.511	2	InCon	MC	0.8395	1
285.11	2	InCon	PC50	1.15	0
291.11	2	Con	MC	0.8175	1
297.11	2	Con	MC	0.7635	1
300.71	2	Con	PC50	0.827	1
304.31	2	Con	MC	0.717	1
307.91	2	Con	MC	0.781	1
313.91	2	Con	MC	0.753	1
317.51	2	Con	MC	0.7095	1
323.51	2	Con	MC	0.6905	1
328.31	2	Con	MC	0.593	1
333.11	2	Con	PC50	0.6865	1
337.91	2	Con	MC	0.922	1
343.91	2	InCon	MC	0.768	1
348.71	2	InCon	PC50	1.163	1
354.709	2	Con	PC50	0.747	1
360.709	2	InCon	PC50	0.93	1
364.309	2	Con	PC50	0.821	1
367.909	2	InCon	PC50	0.8385	1
372.709	2	Con	MC	0.726	1
377.509	2	InCon	PC50	0.827	1
382.309	2	InCon	MC	0.761	1
385.909	2	InCon	PC50	0.8805	1
391.909	2	InCon	MC	0.7725	1
397.909	2	Con	MC	0.754	1
402.709	2	Con	MC	0.7035	1
436.308	2	Con	PC50	0.68	1
442.308	2	InCon	MC	0.7525	1
447.108	2	Con	PC50	0.623	1
451.908	2	InCon	PC50	1.099	1
455.508	2	Con	MC	0.889	1
459.108	2	Con	MC	0.723	1
463.908	2	InCon	PC50	0.727	1
467.508	2	Con	MC	0.7415	1
473.508	2	Con	MC	0.678	1
477.108	2	InCon	PC50	0.774	1
483.108	2	Con	MC	0.6585	1
487.908	2	Con	MC	0.6965	1
493.907	2	Con	MC	0.6415	1
497.507	2	Con	MC	0.6835	1
502.307	2	Con	PC50	0.6875	1
508.307	2	InCon	MC	0.724	1
514.307	2	InCon	MC	0.906	1
519.107	2	InCon	PC50	0.7355	1
525.107	2	Con	PC50	0.716	1
531.107	2	Con	MC	0.678	1
534.707	2	InCon	MC	0.821	1
538.307	2	Con	PC50	0.81	1
543.107	2	Con	MC	0.6635	1
547.907	2	Con	MC	0.613	1
551.507	2	Con	MC	0.669	1
556.307	2	InCon	MC	0.7705	1
562.306	2	Con	MC	0.805	1
567.106	2	InCon	PC50	0.8435	1
571.906	2	Con	MC	0.72	1
577.906	2	Con	MC	0.6825	1
583.906	2	Con	MC	0.6005	1
587.506	2	Con	MC	0.749	1
591.106	2	InCon	PC50	0.7855	1
595.906	2	InCon	MC	0.777	1
601.906	2	Con	PC50	0.721	1
605.506	2	Con	MC	0.639	1
