onset	duration	trial_type	response_time	response_button	response_accuracy
30.616	5.3	AX	0.374	2	1
40.215	5.3	BY	0.385	1	1
48.615	5.3	AX	0.311	2	1
57.015	5.3	Ang	n/a	n/a	1
64.215	5.3	BY	0.311	1	1
71.415	5.3	BY	0.354	1	1
81.015	5.3	BY	0.26	1	1
90.614	5.3	AX	0.284	2	1
99.014	5.3	Ang	n/a	n/a	1
106.214	5.3	AY	0.41	1	1
113.414	5.3	BY	0.332	1	1
121.814	5.3	AX	0.336	1	0
131.414	5.3	BY	0.329	1	1
139.813	5.3	AX	0.339	2	1
147.013	5.3	Bng	0.418	1	0
155.413	5.3	AX	0.335	2	1
163.813	5.3	BY	0.378	1	1
173.413	5.3	BY	0.34	1	1
180.613	5.3	BX	0.64	1	1
190.212	5.3	AX	0.302	2	1
199.812	5.3	Bng	n/a	n/a	1
209.412	5.3	AX	0.307	2	1
216.612	5.3	AY	0.541	1	1
223.812	5.3	BX	0.394	1	1
262.211	5.3	BY	0.34	1	1
269.411	5.3	Bng	0.365	1	0
279.011	5.3	BY	0.369	1	1
288.61	5.3	BY	0.414	1	1
297.01	5.3	AX	0.315	2	1
305.41	5.3	AY	0.484	1	1
313.81	5.3	BY	0.382	1	1
321.01	5.3	AX	0.356	2	1
328.21	5.3	BX	0.315	1	1
337.809	5.3	Bng	n/a	n/a	1
347.409	5.3	BX	0.676	1	1
354.609	5.3	BY	0.383	1	1
363.009	5.3	BY	0.322	1	1
372.609	5.3	AX	0.332	1	0
379.809	5.3	BY	0.379	1	1
388.208	5.3	BY	0.362	1	1
397.808	5.3	AX	0.314	2	1
405.008	5.3	Ang	n/a	n/a	1
413.408	5.3	AY	0.444	1	1
423.008	5.3	AX	0.302	2	1
431.408	5.3	AX	0.319	2	1
438.607	5.3	AX	0.665	2	1
445.807	5.3	AX	0.43	2	1
454.207	5.3	Ang	n/a	n/a	1
493.806	5.3	BY	0.396	1	1
502.206	5.3	AX	n/a	n/a	0
509.406	5.3	AX	0.333	2	1
519.006	5.3	BY	0.296	1	1
527.406	5.3	AX	0.32	2	1
535.805	5.3	Ang	n/a	n/a	1
543.005	5.3	BY	0.456	1	1
551.405	5.3	AX	0.703	2	1
561.005	5.3	Bng	n/a	n/a	1
570.605	5.3	Bng	0.302	1	0
577.805	5.3	BX	0.377	1	1
585.018	5.3	AY	0.492	1	1
594.618	5.3	AX	0.427	2	1
601.817	5.3	BX	0.464	1	1
610.217	5.3	BY	0.412	1	1
619.817	5.3	Ang	n/a	n/a	1
629.417	5.3	AX	0.378	2	1
639.017	5.3	BY	0.319	1	1
646.216	5.3	AX	0.302	2	1
653.416	5.3	AX	0.423	2	1
661.816	5.3	BY	0.492	1	1
670.216	5.3	BY	0.371	1	1
679.816	5.3	BY	0.246	1	1
688.216	5.3	AY	0.456	1	1
