onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.713	2	Con	MC	0.7285	1
34.313	2	InCon	MC	0.69	1
40.312	2	Con	MC	0.787	1
45.112	2	InCon	PC50	0.8525	1
48.712	2	Con	MC	0.772	1
52.325	2	Con	MC	0.79	1
58.324	2	Con	MC	0.8305	1
64.324	2	Con	MC	0.767	1
69.124	2	Con	MC	0.9315	1
73.923	2	InCon	PC50	1.0495	1
79.923	2	InCon	PC50	0.9545	1
84.722	2	InCon	MC	0.8505	1
88.322	2	Con	MC	0.9765	1
94.322	2	Con	MC	1.0175	1
100.321	2	InCon	MC	0.9695	1
105.121	2	Con	PC50	0.8675	1
109.921	2	InCon	PC50	0.924	1
113.52	2	Con	MC	0.896	1
119.52	2	Con	MC	0.9325	1
123.12	2	InCon	PC50	0.8275	1
126.719	2	Con	MC	0.8705	1
131.519	2	Con	MC	0.7415	1
136.319	2	InCon	MC	0.9015	1
142.318	2	Con	MC	0.926	1
145.918	2	InCon	MC	0.921	1
149.518	2	Con	MC	0.864	1
155.517	2	Con	MC	0.7865	1
160.317	2	Con	PC50	1.028	1
165.116	2	Con	PC50	0.756	1
169.916	2	InCon	MC	0.7205	1
173.516	2	Con	PC50	0.7205	1
177.116	2	Con	MC	0.6855	1
183.115	2	Con	MC	0.865	1
189.115	2	InCon	PC50	0.802	1
195.114	2	Con	PC50	0.957	1
198.714	2	Con	PC50	0.8375	1
233.511	2	Con	PC50	0.914	1
238.324	2	InCon	PC50	0.8805	1
244.324	2	Con	MC	0.7865	1
247.924	2	Con	MC	0.777	1
251.523	2	Con	PC50	0.6755	1
256.323	2	InCon	MC	0.857	1
261.123	2	Con	MC	0.687	1
267.122	2	InCon	PC50	0.8045	1
270.722	2	Con	PC50	0.7455	1
274.322	2	InCon	MC	1.188	1
280.321	2	InCon	PC50	0.929	1
286.321	2	Con	MC	0.947	1
291.121	2	Con	MC	0.742	1
294.72	2	Con	MC	0.802	1
298.32	2	InCon	PC50	0.7905	1
303.12	2	Con	MC	0.9845	1
307.919	2	Con	MC	0.6725	1
313.919	2	Con	MC	0.809	1
319.918	2	InCon	PC50	0.9665	1
324.718	2	InCon	MC	0.866	1
328.318	2	Con	MC	0.7555	1
333.117	2	Con	MC	0.9255	1
339.117	2	Con	MC	1.009	1
342.717	2	Con	MC	0.761	1
348.716	2	Con	MC	0.784	1
353.516	2	InCon	PC50	0.875	1
358.316	2	Con	MC	0.818	1
361.915	2	Con	PC50	0.7665	1
367.915	2	Con	MC	0.8025	1
373.914	2	Con	MC	0.9165	1
378.714	2	Con	PC50	0.6765	1
382.314	2	Con	MC	0.741	1
385.914	2	InCon	MC	0.8145	1
391.913	2	Con	PC50	0.764	1
397.913	2	InCon	MC	0.899	1
402.712	2	InCon	MC	0.8625	1
436.323	2	Con	PC50	0.904	1
439.923	2	Con	MC	0.857	0
444.723	2	Con	MC	0.889	1
448.322	2	Con	PC50	0.74	1
453.122	2	Con	MC	0.8245	1
459.122	2	InCon	PC50	1.044	1
465.121	2	Con	MC	0.722	1
469.921	2	Con	MC	0.809	1
474.72	2	Con	PC50	0.7455	1
480.72	2	Con	MC	0.8355	1
486.72	2	InCon	PC50	0.9835	1
490.319	2	Con	MC	0.877	1
493.919	2	InCon	MC	0.9965	1
499.919	2	Con	MC	0.84	1
504.718	2	Con	MC	0.885	1
510.718	2	Con	PC50	0.748	1
515.517	2	Con	PC50	0.986	1
521.517	2	Con	MC	0.826	1
526.317	2	Con	MC	0.9655	1
529.916	2	Con	MC	0.893	1
533.516	2	Con	MC	0.7675	1
537.116	2	InCon	PC50	0.9275	1
540.716	2	Con	MC	0.8	1
545.515	2	Con	MC	0.8885	1
551.515	2	InCon	PC50	0.896	1
557.514	2	Con	MC	0.9255	1
561.114	2	InCon	MC	1.498	1
567.114	2	InCon	MC	0.924	1
571.913	2	InCon	PC50	0.903	1
575.513	2	Con	MC	0.906	1
581.513	2	InCon	MC	0.7405	1
585.112	2	Con	MC	0.7795	1
589.912	2	InCon	PC50	0.8995	1
595.912	2	Con	PC50	0.9285	1
599.525	2	InCon	MC	0.8385	1
604.324	2	InCon	MC	0.7175	1
