onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.717	2	InCon	PC50	0.801	1
35.517	2	Con	MC	0.7235	1
40.317	2	Con	MC	0.854	1
46.317	2	Con	PC50	1.01	1
51.117	2	InCon	MC	1.0445	1
57.117	2	Con	MC	1.0305	1
60.717	2	Con	MC	1.2395	1
66.717	2	InCon	PC50	0.8115	1
71.517	2	Con	MC	0.8725	1
75.117	2	Con	MC	0.8155	1
78.717	2	Con	MC	0.819	1
84.717	2	InCon	MC	0.8895	1
88.317	2	Con	PC50	0.7195	1
91.917	2	InCon	MC	1.2795	1
96.717	2	Con	MC	0.679	1
102.716	2	InCon	PC50	1.0655	1
106.316	2	Con	MC	0.681	1
109.916	2	Con	PC50	0.9075	1
114.716	2	InCon	MC	0.9835	1
118.316	2	InCon	PC50	1.3695	1
124.316	2	Con	MC	1.0625	1
129.116	2	Con	MC	0.8535	1
135.116	2	Con	PC50	0.585	1
139.916	2	Con	MC	0.794	1
145.916	2	InCon	PC50	1.0845	1
150.716	2	Con	PC50	0.9255	1
156.716	2	InCon	PC50	0.897	1
161.516	2	Con	MC	0.958	1
167.516	2	Con	MC	0.5665	1
171.115	2	Con	MC	0.9385	1
177.115	2	Con	MC	0.9995	1
181.915	2	InCon	MC	1.272	1
185.515	2	Con	MC	1.034	1
190.315	2	Con	PC50	0.835	1
196.315	2	InCon	MC	1.3535	1
199.915	2	Con	MC	1.0705	1
233.515	2	InCon	MC	1.016	1
239.514	2	Con	MC	0.996	1
244.314	2	InCon	MC	0.971	1
250.314	2	Con	MC	0.8545	1
256.314	2	Con	PC50	0.7925	1
259.914	2	Con	MC	1.0645	1
265.914	2	InCon	MC	1.1885	1
270.714	2	Con	MC	0.901	1
275.514	2	Con	PC50	1.2615	1
279.114	2	InCon	MC	1.116	0
283.914	2	InCon	MC	0.9025	1
287.514	2	Con	MC	0.9895	1
291.114	2	Con	MC	0.618	1
294.714	2	Con	MC	1.0065	1
300.714	2	Con	PC50	0.9445	1
304.314	2	InCon	PC50	1.1615	1
310.313	2	Con	MC	0.857	1
315.113	2	InCon	PC50	1.558	1
318.713	2	Con	MC	0.989	1
323.513	2	InCon	PC50	1.3605	1
327.113	2	Con	PC50	1.1585	1
333.113	2	Con	MC	1.055	1
337.913	2	Con	MC	1.002	1
343.913	2	Con	MC	0.786	1
348.713	2	Con	PC50	0.751	1
352.313	2	Con	MC	0.686	1
355.913	2	InCon	PC50	0.9225	1
360.713	2	InCon	PC50	1.0315	1
365.513	2	InCon	MC	1.0745	1
370.313	2	Con	MC	1.122	1
376.312	2	Con	MC	1.0745	1
381.112	2	Con	MC	1.0795	1
387.112	2	Con	PC50	0.8	1
390.712	2	InCon	PC50	0.968	1
396.712	2	Con	MC	0.949	1
400.312	2	Con	MC	0.8895	1
436.312	2	InCon	PC50	0.889	1
439.912	2	Con	MC	0.783	1
443.512	2	InCon	MC	0.9095	1
448.311	2	InCon	MC	0.896	1
453.111	2	Con	MC	0.9075	1
459.111	2	Con	MC	0.7025	1
463.911	2	Con	MC	0.9385	1
467.511	2	Con	PC50	1.0145	1
473.511	2	Con	MC	1.03	1
479.511	2	InCon	PC50	1.291	1
483.111	2	InCon	MC	1.085	1
487.911	2	Con	MC	0.701	1
493.911	2	Con	MC	0.689	1
498.711	2	InCon	PC50	1.4815	1
504.711	2	Con	MC	0.8395	1
509.511	2	Con	PC50	0.9735	1
515.51	2	InCon	MC	0.9605	1
521.51	2	InCon	PC50	1.1955	1
525.11	2	Con	MC	1.231	1
528.71	2	Con	MC	0.8835	1
532.31	2	InCon	MC	1.286	0
538.31	2	Con	MC	1.147	1
543.11	2	Con	PC50	0.7485	1
546.71	2	Con	MC	0.7855	1
551.51	2	InCon	MC	1.3905	1
557.51	2	InCon	PC50	0.977	1
562.31	2	Con	MC	0.9475	1
565.91	2	Con	PC50	1.163	1
570.71	2	Con	MC	0.947	1
575.51	2	Con	MC	1.0975	1
579.11	2	Con	PC50	0.8765	1
582.71	2	Con	MC	0.7665	1
588.709	2	InCon	PC50	1.0685	1
592.309	2	Con	MC	1.0275	1
598.309	2	Con	MC	1.0205	1
604.309	2	Con	PC50	0.7115	1
