onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.114	8.5	Congruent	AttendLetter	n/a	1.523	2	1
43.112	8.5	Congruent	AttendNumber	switch	0.884	1	1
53.927	8.5	Incongruent	AttendNumber	repeat	0.744	1	1
67.125	8.5	Congruent	AttendLetter	switch	0.502	1	1
80.323	8.5	Congruent	AttendLetter	repeat	0.914	1	1
91.121	8.5	Incongruent	AttendNumber	switch	0.96	1	1
101.92	8.5	Incongruent	AttendNumber	repeat	0.754	1	1
115.118	8.5	Congruent	AttendNumber	repeat	1.401	1	1
127.116	8.5	Incongruent	AttendLetter	switch	0.883	1	1
139.114	8.5	Congruent	AttendLetter	repeat	0.983	2	1
151.112	8.5	Congruent	AttendLetter	repeat	1.105	2	1
161.927	8.5	Congruent	AttendNumber	switch	0.743	1	1
175.125	8.5	Congruent	AttendLetter	switch	0.774	2	1
187.123	8.5	Congruent	AttendNumber	switch	0.726	1	0
197.921	8.5	Incongruent	AttendLetter	switch	1.366	2	1
208.719	8.5	Incongruent	AttendLetter	repeat	0.914	1	1
221.917	8.5	Congruent	AttendNumber	switch	1.128	1	1
235.115	8.5	Congruent	AttendNumber	repeat	0.876	2	1
277.125	8.5	Incongruent	AttendNumber	n/a	0.823	2	1
289.123	8.5	Congruent	AttendNumber	repeat	0.631	1	1
301.121	8.5	Congruent	AttendLetter	switch	1.644	1	1
314.319	8.5	Congruent	AttendLetter	repeat	0.763	2	1
325.118	8.5	Incongruent	AttendNumber	switch	0.931	2	1
338.316	8.5	Congruent	AttendNumber	repeat	0.73	1	1
349.114	8.5	Congruent	AttendNumber	repeat	1.197	1	1
359.912	8.5	Congruent	AttendLetter	switch	0.831	1	1
373.127	8.5	Congruent	AttendNumber	switch	1.036	2	1
385.125	8.5	Congruent	AttendNumber	repeat	1.178	2	1
395.923	8.5	Incongruent	AttendLetter	switch	0.979	2	1
407.921	8.5	Incongruent	AttendNumber	switch	1.183	2	1
421.119	8.5	Incongruent	AttendLetter	switch	0.658	1	1
434.317	8.5	Congruent	AttendLetter	repeat	0.591	2	1
445.115	8.5	Congruent	AttendLetter	repeat	1.056	2	1
455.914	8.5	Congruent	AttendLetter	repeat	0.743	1	1
469.128	8.5	Incongruent	AttendNumber	switch	1.175	2	1
481.126	8.5	Incongruent	AttendLetter	switch	0.944	2	1
523.12	8.5	Congruent	AttendNumber	n/a	0.767	1	1
535.118	8.5	Congruent	AttendNumber	repeat	0.675	2	1
547.116	8.5	Incongruent	AttendNumber	repeat	1.015	2	1
560.314	8.5	Congruent	AttendLetter	switch	1.198	1	1
572.312	8.5	Congruent	AttendLetter	repeat	0.759	2	1
583.127	8.5	Congruent	AttendLetter	repeat	0.604	1	1
596.325	8.5	Congruent	AttendNumber	switch	0.907	2	1
607.123	8.5	Incongruent	AttendNumber	repeat	1.072	1	1
620.321	8.5	Congruent	AttendLetter	switch	0.545	1	1
631.119	8.5	Incongruent	AttendLetter	repeat	0.97	1	1
644.317	8.5	Congruent	AttendNumber	switch	0.716	1	1
657.515	8.5	Incongruent	AttendNumber	repeat	1.266	2	1
669.513	8.5	Congruent	AttendLetter	switch	1.565	2	1
680.328	8.5	Incongruent	AttendLetter	repeat	0.618	1	1
693.526	8.5	Congruent	AttendLetter	repeat	1.065	2	1
704.324	8.5	Congruent	AttendNumber	switch	0.923	2	0
716.322	8.5	Congruent	AttendNumber	repeat	0.831	2	1
727.121	8.5	Incongruent	AttendLetter	switch	1.187	2	1
