onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.716	2	Con	MC	0.633	1
34.315	2	InCon	PC50	1.185	1
40.314	2	Con	MC	0.6085	1
45.114	2	Con	MC	0.6875	1
49.913	2	Con	MC	0.6225	1
54.712	2	InCon	PC50	0.912	1
60.728	2	InCon	MC	0.768	1
66.727	2	Con	MC	0.6835	1
72.726	2	InCon	MC	0.837	1
77.525	2	InCon	PC50	0.8755	1
81.125	2	Con	MC	0.8995	1
84.724	2	InCon	MC	0.8525	1
88.324	2	InCon	MC	0.6415	1
91.923	2	Con	MC	0.664	1
97.922	2	InCon	MC	0.7495	1
103.921	2	Con	PC50	0.7875	1
109.92	2	Con	MC	0.792	1
115.919	2	Con	MC	0.62	1
119.519	2	Con	MC	0.6695	1
123.118	2	Con	PC50	0.6985	1
126.718	2	InCon	PC50	0.9995	1
131.517	2	Con	MC	0.7035	1
136.316	2	InCon	PC50	1.294	1
141.115	2	Con	PC50	0.654	1
145.915	2	Con	PC50	0.6835	1
149.514	2	Con	MC	0.7945	1
153.113	2	Con	MC	0.6485	1
157.913	2	Con	MC	0.805	1
161.512	2	Con	MC	0.6065	1
167.528	2	InCon	PC50	1.3425	0
172.327	2	Con	PC50	0.6795	1
177.126	2	Con	MC	0.6685	1
183.125	2	InCon	MC	1.0365	1
187.925	2	Con	MC	0.7495	1
193.924	2	Con	MC	0.6235	1
199.923	2	Con	PC50	0.7005	1
233.517	2	InCon	PC50	0.795	1
237.117	2	Con	PC50	0.705	1
241.916	2	InCon	PC50	0.847	1
245.516	2	Con	MC	0.6395	1
250.315	2	Con	MC	0.6885	1
253.914	2	Con	PC50	0.862	1
258.714	2	InCon	MC	0.795	1
262.313	2	Con	MC	0.6555	1
268.312	2	Con	PC50	0.787	1
274.328	2	Con	PC50	0.6235	1
280.327	2	Con	MC	0.7965	1
286.326	2	Con	MC	0.584	1
291.125	2	InCon	MC	0.8815	1
294.725	2	InCon	MC	0.8935	1
300.724	2	Con	MC	0.6065	1
304.323	2	Con	MC	0.6715	1
307.922	2	Con	PC50	0.596	1
313.922	2	Con	PC50	0.697	1
318.721	2	Con	MC	0.5955	1
322.32	2	InCon	MC	0.751	1
327.119	2	InCon	MC	0.7545	1
333.119	2	InCon	MC	0.709	1
339.118	2	InCon	PC50	1.289	1
343.917	2	InCon	PC50	0.8385	1
348.716	2	Con	MC	0.71	1
352.315	2	InCon	PC50	0.922	1
355.915	2	Con	MC	0.6105	1
360.714	2	Con	MC	0.849	1
366.713	2	Con	MC	0.7685	1
371.512	2	Con	MC	0.744	1
375.112	2	Con	MC	0.6	1
379.928	2	Con	MC	0.6145	1
385.927	2	Con	MC	0.665	1
389.526	2	Con	MC	0.752	1
395.525	2	Con	MC	0.6295	1
401.524	2	InCon	PC50	1.3195	1
436.319	2	Con	PC50	0.743	1
442.318	2	InCon	PC50	0.821	1
447.117	2	Con	PC50	0.632	1
450.717	2	InCon	MC	0.8935	1
456.716	2	Con	MC	0.75	1
461.515	2	Con	MC	0.6475	1
465.114	2	Con	MC	0.694	1
468.714	2	Con	PC50	0.734	1
473.513	2	Con	MC	0.6415	1
479.512	2	Con	PC50	0.6665	1
484.328	2	Con	PC50	0.69	1
487.928	2	Con	MC	0.615	1
493.927	2	InCon	PC50	0.885	1
497.526	2	InCon	MC	0.7605	1
503.525	2	Con	MC	0.7075	1
508.324	2	Con	MC	0.773	1
514.323	2	InCon	PC50	0.8705	1
519.123	2	InCon	PC50	0.945	1
522.722	2	Con	MC	NA	1
527.521	2	InCon	PC50	0.8845	1
533.52	2	InCon	MC	0.7295	1
539.519	2	InCon	PC50	0.948	1
544.319	2	Con	MC	0.758	1
547.918	2	Con	MC	0.729	1
551.518	2	Con	MC	0.6795	1
556.317	2	Con	MC	0.805	1
559.916	2	InCon	MC	0.8335	1
563.516	2	Con	MC	0.776	1
567.115	2	Con	PC50	0.7525	1
571.914	2	Con	MC	0.694	1
577.913	2	Con	MC	0.656	1
582.713	2	Con	MC	0.7165	1
588.712	2	InCon	MC	1.0025	1
594.727	2	Con	MC	0.803	1
600.726	2	InCon	MC	0.792	1
605.526	2	Con	MC	0.7565	1
