onset	duration	trial_type	response_time	response_button	response_accuracy
30.61	5.3	AY	0.616	1	1
37.809	5.3	BY	0.457	1	1
45.008	5.3	BY	0.377	1	1
53.407	5.3	BY	0.436	1	1
60.606	5.3	AY	0.623	1	1
69.021	5.3	Ang	n/a	n/a	1
78.619	5.3	BY	0.717	1	1
88.218	5.3	BY	0.434	1	1
96.616	5.3	AX	0.412	2	1
105.015	5.3	AX	0.453	2	1
114.614	5.3	AX	0.444	2	1
121.812	5.3	BX	0.782	1	1
131.411	5.3	BX	0.78	1	1
141.009	5.3	AX	0.651	2	1
148.208	5.3	Ang	n/a	n/a	1
156.607	5.3	AX	0.681	2	1
163.806	5.3	AX	0.597	2	1
173.421	5.3	Bng	n/a	n/a	1
183.019	5.3	BY	0.467	1	1
191.418	5.3	AX	0.328	2	1
198.617	5.3	BY	n/a	n/a	0
205.816	5.3	AX	0.362	2	1
214.214	5.3	Bng	n/a	n/a	1
222.613	5.3	BY	0.518	1	1
262.207	5.3	AX	0.314	2	1
270.622	5.3	AX	0.342	2	1
277.821	5.3	BY	0.685	1	1
287.419	5.3	BY	0.477	1	1
295.818	5.3	AX	0.454	2	1
305.416	5.3	BY	1.046	1	1
313.815	5.3	BY	0.526	1	1
321.014	5.3	Ang	n/a	n/a	1
330.612	5.3	AX	0.483	2	1
339.011	5.3	Bng	n/a	n/a	1
348.609	5.3	BY	0.672	1	1
355.808	5.3	Bng	n/a	n/a	1
363.007	5.3	BY	0.526	1	1
372.606	5.3	AX	0.491	2	1
381.021	5.3	AY	0.794	1	1
390.619	5.3	AX	1.168	1	0
400.218	5.3	AX	0.367	2	1
407.417	5.3	BY	0.385	1	1
417.015	5.3	Ang	n/a	n/a	1
424.214	5.3	AY	0.61	1	1
432.613	5.3	AX	0.502	2	1
441.011	5.3	BX	0.865	1	1
449.41	5.3	BX	0.627	1	1
456.609	5.3	BY	0.595	1	1
493.819	5.3	AY	0.537	1	1
501.018	5.3	AX	0.308	2	1
510.617	5.3	AX	0.457	2	1
519.015	5.3	Bng	n/a	n/a	1
528.614	5.3	BY	0.83	1	1
537.013	5.3	AX	0.487	2	1
544.211	5.3	AX	0.687	2	1
553.81	5.3	BX	0.683	1	1
561.009	5.3	BY	n/a	n/a	0
569.407	5.3	BY	0.618	1	1
576.606	5.3	BY	0.506	1	1
585.021	5.3	AX	0.386	2	1
594.62	5.3	BY	0.5	1	1
603.019	5.3	AY	0.66	1	1
610.217	5.3	Ang	n/a	n/a	1
619.816	5.3	BX	0.87	1	1
628.215	5.3	AX	0.647	2	1
636.613	5.3	AX	0.476	2	1
643.812	5.3	Bng	n/a	n/a	1
653.411	5.3	BY	0.588	1	1
660.609	5.3	BY	0.415	1	1
670.208	5.3	AX	0.524	2	1
678.606	5.3	Ang	n/a	n/a	1
685.822	5.3	BY	0.553	1	1
