onset	duration	trial_type	response_time	response_button	response_accuracy
30.627	5.3	AX	0.495	2	1
40.227	5.3	Ang	0.458	1	0
49.826	5.3	BY	0.333	1	1
58.226	5.3	Bng	0.45	1	0
65.425	5.3	BY	0.346	1	1
73.825	5.3	AY	0.655	1	1
82.224	5.3	AX	0.412	1	0
89.424	5.3	BY	0.492	1	1
96.624	5.3	AX	0.485	2	1
105.023	5.3	BY	0.404	1	1
114.623	5.3	BX	0.731	1	1
124.222	5.3	BY	0.299	1	1
131.422	5.3	Bng	0.464	1	0
138.621	5.3	AX	0.412	2	1
148.221	5.3	Ang	n/a	n/a	1
156.62	5.3	AY	0.556	1	1
163.82	5.3	AX	0.469	2	1
172.219	5.3	AX	0.353	2	1
180.619	5.3	AX	0.338	2	1
190.218	5.3	BX	0.493	2	0
197.418	5.3	BY	0.322	1	1
204.618	5.3	BY	0.316	1	1
214.217	5.3	AX	0.414	2	1
223.816	5.3	BY	0.38	1	1
262.228	5.3	BY	0.379	1	1
271.827	5.3	Ang	n/a	n/a	1
279.027	5.3	BY	0.411	1	1
287.426	5.3	AX	0.379	2	1
297.026	5.3	Bng	n/a	n/a	1
305.425	5.3	AY	0.38	2	0
312.625	5.3	AX	0.369	2	1
319.824	5.3	AY	0.423	1	1
328.224	5.3	Ang	n/a	n/a	1
337.823	5.3	BY	0.463	1	1
345.023	5.3	AX	0.3	2	1
353.422	5.3	Bng	0.35	1	0
363.022	5.3	AX	0.425	2	1
372.621	5.3	AX	0.513	2	1
379.821	5.3	BY	0.374	1	1
388.221	5.3	BY	0.333	1	1
395.42	5.3	BX	0.326	1	1
405.02	5.3	BY	0.333	1	1
413.419	5.3	AX	0.285	2	1
420.619	5.3	BX	0.604	2	0
430.218	5.3	AX	0.375	2	1
438.618	5.3	BY	0.284	1	1
447.017	5.3	AX	0.298	2	1
456.617	5.3	BY	0.379	1	1
493.815	5.3	AX	0.365	1	0
502.228	5.3	Bng	n/a	n/a	1
511.827	5.3	AX	0.296	2	1
521.426	5.3	BY	0.354	1	1
528.626	5.3	AX	0.339	2	1
537.026	5.3	BY	0.373	1	1
545.425	5.3	AX	0.417	2	1
552.625	5.3	BY	0.492	1	1
561.024	5.3	AX	0.26	2	1
568.224	5.3	BY	0.368	1	1
575.423	5.3	AY	0.44	1	1
585.023	5.3	Bng	n/a	n/a	1
594.622	5.3	AX	0.422	2	1
601.822	5.3	BY	0.386	1	1
609.022	5.3	BY	0.322	1	1
618.621	5.3	BY	0.363	1	1
625.821	5.3	AY	0.389	1	1
635.42	5.3	BX	0.324	1	1
645.02	5.3	AX	0.296	2	1
653.419	5.3	Ang	n/a	n/a	1
661.819	5.3	BX	0.346	1	1
669.018	5.3	AX	0.309	2	1
677.418	5.3	BY	0.22	1	1
687.017	5.3	Ang	n/a	n/a	1
